,,注釋 1,注釋 2,注釋 3,注釋 4,注釋 5,注釋 6,注釋 7,注釋 8
R000,,料號代號輸入錯誤,料號代號錯誤(超出1-10),,,,,,
R001,,Conv_Y1移動限制警告,防撞功能啟動,,,,,,
R002,,Conv_Y2移動限制警告,防撞功能啟動,,,,,,
R003,,Conv_R1移動限制警告,旋轉工位感測器In107未觸發時進行旋轉,,,,,,
R004,,Conv_R2移動限制警告,防撞功能啟動,,,,,,
R005,,Laser_Z移動限制警告,防撞功能啟動,,,,,,
R006,,Handle_Z1移動限制警告,防撞功能啟動,,,,,,
R007,,Valve_X移動限制警告,防撞功能啟動,,,,,,
R008,,Vis_Z移動限制警告,防撞功能啟動,,,,,,
R009,,Conv_Z移動限制警告,防撞功能啟動,,,,,,
R010,,Handle_1移動限制警告,防撞功能啟動,,,,,,
R011,,Slot_Z移動限制警告,防撞功能啟動,,,,,,
R012,,Slot_X移動限制警告,防撞功能啟動,,,,,,
R013,,Vis_X移動限制警告,防撞功能啟動,,,,,,
R014,,Conv_X移動限制警告,防撞功能啟動,,,,,,
R015,,Handle_2移動限制警告,防撞功能啟動,,,,,,
R100,,Inner_X1移動限制警告,防撞功能啟動,,,,,,
R101,,Inner_X2移動限制警告,防撞功能啟動,,,,,,
R102,,Slot_Y1移動限制警告,防撞功能啟動,,,,,,
R103,,Slot_Y2移動限制警告,防撞功能啟動,,,,,,
R104,,Handle_3移動限制警告,防撞功能啟動,,,,,,
R105,,Handle_4移動限制警告,防撞功能啟動,,,,,,
R106,,Handle_5移動限制警告,防撞功能啟動,,,,,,
R107,,Hlight_Z1移動限制警告,防撞功能啟動,,,,,,
R108,,Slight_X1移動限制警告,防撞功能啟動,,,,,,
R109,,Slight_X2移動限制警告,防撞功能啟動,,,,,,
R110,,Dcheck_R1移動限制警告,防撞功能啟動,,,,,,
R111,,Dcheck_R2移動限制警告,防撞功能啟動,,,,,,
R112,,Door_X移動限制警告,防撞功能啟動,,,,,,
R113,,入料作業中Buffer區狀態異常,入料Buffer區氣缸In110/In112/In113/In304/In305異常,,,,,,
R114,,入料作業中載台1在席異常,在席感測器In010/In011/In012異常,,,,,,
R115,,載台1產品定位氣缸鎖定超時,警報異常使用區,,,,,,
R200,,載台1產品定位氣缸解除超時,警報異常使用區,,,,,,
R201,,載台未淨空，禁止原點復歸,載台1/2一個或多個以上在席感測器異常,無產品時應為On狀態,,,,,
R202,,載台1料號座標異常,載台1料號區座標異常,,,,,,
R203,,載台2料號座標異常,載台2料號區座標異常,,,,,,
R204,,載台3料號座標異常,載台3料號區座標異常,,,,,,
R205,,入料Buffer區訊號異常，禁止啟動入料,入料在席檢知In005訊號異常,入料Buffer區氣缸上位置In112/In113錯誤,,,,,
R206,,載台1未準備完成，禁止啟動入料,載台1在席檢知In010/In011/In012異常,載台1不在0度,,,,,
R207,,工作模式錯誤，禁止啟動入料,旋鈕狀態錯誤,,,,,,
R208,,氣壓異常,氣壓錶頭示意壓力值未達標,,,,,,
R209,,復歸時開蓋平台在席訊號異常,開蓋平台在席訊號In208/In209異常,無產品時應為On狀態,,,,,
R210,,復歸時開蓋平台閉鎖定位異常,開蓋平台閉鎖定位訊號In212/In213異常,未開鎖狀態(直立狀)應為On,,,,,
R211,,復歸時搬運天車在席異常,天車在席檢知訊號In109異常,無產品應為Off狀態,,,,,
R212,,復歸時搬運天車X氣缸異常,天車X氣缸訊號In202異常,到位時應該為On,,,,,
R213,,復歸時搬運天車Z氣缸異常,天車Z氣缸訊號In206/In207異常,到位置時應該為On,,,,,
R214,,復歸時載台1固定氣缸訊號異常,載台1固定氣缸上位訊號In100異常,到位置時應該為On,,,,,
R215,,復歸時載台2固定氣缸訊號異常,載台2固定氣缸上位訊號In102異常,到位置時應該為On,,,,,
R300,,復歸時工作狀態旋鈕狀態錯誤,工作狀態旋鈕未停留在手動狀態上,,,,,,
R301,,載台1與入料Buffer區防撞警告,載台1有物件且入料Buffer區停留在上位置,載台1有物件且入料Buffer在席檢知In110為On,,,,,
R302,,載台2與入料Buffer區防撞警告,載台2有物件且入料Buffer區停留在上位置,載台2有物件且出料Buffer在席檢知In111為On,,,,,
R303,,警報異常使用區,,,,,,,
R304,,警報異常使用區,,,,,,,
R305,,警報異常使用區,,,,,,,
R306,,警報異常使用區,,,,,,,
R307,,警報異常使用區,,,,,,,
R308,,警報異常使用區,,,,,,,
R309,,警報異常使用區,,,,,,,
R310,,警報異常使用區,,,,,,,
R311,,警報異常使用區,,,,,,,
R312,,警報異常使用區,,,,,,,
R313,,警報異常使用區,,,,,,,
R314,,警報異常使用區,,,,,,,
R315,,警報異常使用區,,,,,,,
R400,,警報異常使用區,,,,,,,
R401,,警報異常使用區,,,,,,,
R402,,警報異常使用區,,,,,,,
R403,,警報異常使用區,,,,,,,
R404,,警報異常使用區,,,,,,,
R405,,警報異常使用區,,,,,,,
R406,,警報異常使用區,,,,,,,
R407,,警報異常使用區,,,,,,,
R408,,警報異常使用區,,,,,,,
R409,,警報異常使用區,,,,,,,
R410,,警報異常使用區,,,,,,,
R411,,警報異常使用區,,,,,,,
R412,,警報異常使用區,,,,,,,
R413,,警報異常使用區,,,,,,,
R414,,警報異常使用區,,,,,,,
R415,,警報異常使用區,,,,,,,
R500,,警報異常使用區,,,,,,,
R501,,警報異常使用區,,,,,,,
R502,,警報異常使用區,,,,,,,
R503,,警報異常使用區,,,,,,,
R504,,警報異常使用區,,,,,,,
R505,,警報異常使用區,,,,,,,
R506,,警報異常使用區,,,,,,,
R507,,警報異常使用區,,,,,,,
R508,,警報異常使用區,,,,,,,
R509,,警報異常使用區,,,,,,,
R510,,警報異常使用區,,,,,,,
R511,,警報異常使用區,,,,,,,
R512,,警報異常使用區,,,,,,,
R513,,警報異常使用區,,,,,,,
R514,,警報異常使用區,,,,,,,
R515,,警報異常使用區,,,,,,,
R600,,警報異常使用區,,,,,,,
R601,,警報異常使用區,,,,,,,
R602,,警報異常使用區,,,,,,,
R603,,警報異常使用區,,,,,,,
R604,,警報異常使用區,,,,,,,
R605,,警報異常使用區,,,,,,,
R606,,警報異常使用區,,,,,,,
R607,,警報異常使用區,,,,,,,
R608,,警報異常使用區,,,,,,,
R609,,警報異常使用區,,,,,,,
R610,,警報異常使用區,,,,,,,
R611,,警報異常使用區,,,,,,,
R612,,警報異常使用區,,,,,,,
R613,,警報異常使用區,,,,,,,
R614,,警報異常使用區,,,,,,,
R615,,警報異常使用區,,,,,,,
R700,,警報異常使用區,,,,,,,
R701,,警報異常使用區,,,,,,,
R702,,警報異常使用區,,,,,,,
R703,,警報異常使用區,,,,,,,
R704,,警報異常使用區,,,,,,,
R705,,警報異常使用區,,,,,,,
R706,,警報異常使用區,,,,,,,
R707,,警報異常使用區,,,,,,,
R708,,警報異常使用區,,,,,,,
R709,,警報異常使用區,,,,,,,
R710,,警報異常使用區,,,,,,,
R711,,警報異常使用區,,,,,,,
R712,,警報異常使用區,,,,,,,
R713,,警報異常使用區,,,,,,,
R714,,警報異常使用區,,,,,,,
R715,,警報異常使用區,,,,,,,
R800,,警報異常使用區,,,,,,,
R801,,警報異常使用區,,,,,,,
R802,,警報異常使用區,,,,,,,
R803,,警報異常使用區,,,,,,,
R804,,警報異常使用區,,,,,,,
R805,,警報異常使用區,,,,,,,
R806,,警報異常使用區,,,,,,,
R807,,警報異常使用區,,,,,,,
R808,,警報異常使用區,,,,,,,
R809,,警報異常使用區,,,,,,,
R810,,警報異常使用區,,,,,,,
R811,,警報異常使用區,,,,,,,
